company_name,job_title,posting_duration,skills,more_details,scraped_at
Wipro Technologies Ltd,Analyst,6 days ago,**  legal compliance knowledge|data management skills|ms office proficiency|report preparation|coordination abilities **|reports|commerce|regulatory compliance|excel|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-delhi-gurgaon-1-to-3-yrs-jobid-kvQ__PLUS__TpbZS95zpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,6 days ago,**  client query resolution|troubleshooting techniques|effective communication|attention to detail|process compliance **|learning|hr|technical training|capability development|performance review|employee engagement|decision making,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-1-to-3-yrs-jobid-yH676rvbzItzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,legal document management|database management systems|detail oriented organization|problem solving aptitude|proficiency in ms office|reports|dealing|team player|accounting|filing|reporting|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-1-to-4-yrs-jobid-OmVxMuub9IFzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,advanced excel proficiency|expense management knowledge|analytical thinking skills|excellent communication|process improvement focus|international finance|expense analysis|expense control|reporting|trend analysis|accounts payable|balance sheet|strong analytical skills,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-2-to-3-yrs-jobid-tCl4__SLASH__O82m5NzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,valuation analysis|regulatory reporting|financial statements|excel  &  powerpoint|communication skills|variance analysis|board meeting|cfa|reconciliation|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-2-to-6-yrs-jobid-UBPgJLTe5ctzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,compliance monitoring|portfolio reporting|investment restrictions|data analysis|risk reports|accounting|legal|verbal communication|excel|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-1-to-3-yrs-jobid-iRwbhxCEdfJzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,technical support|client interaction|problem resolution|effective communication|data documentation|learning|hr|technical training|capability development|performance review|employee engagement|decision making,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-chennai-1-to-3-yrs-jobid-aLMIn6bidEdzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,payroll processing|tax compliance|bank reconciliations|excel proficiency|communication skills|reports|balance sheet|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-2-to-5-yrs-jobid-s6hHBz3gR2BzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,workday experience|hro experience|ms office proficiency|quality control|data analysis,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-bengaluru-bangalore-3-to-4-yrs-jobid-QADzqrsD0ZZzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,investment management|structured finance|asset backed securities|financial analysis|data visualization|due diligence|closing|reporting|ca|cfa|office tools|verbal communication|excel|pricing,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-bengaluru-bangalore-1-to-4-yrs-jobid-3MrMIkUMVG9zpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,investment analysis|deal management|due diligence|cashflow modeling|asset valuation|closing|reporting|cfa|office tools|verbal communication|excel|finance|pricing,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-bengaluru-bangalore-1-to-4-yrs-jobid-iNSuQQUAihZzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,fund operations|compliance reporting|financial management|real estate|microsoft office|accounting|excel|audit|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-0-to-3-yrs-jobid-5IA__PLUS__iOi1SYBzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,treasury management|financial analysis|cash forecasting|reconciliation|liquidity management|verbal communication|excel|working capital management|reporting|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-3-to-7-yrs-jobid-p__PLUS__P7A6IFE6NzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,tax compliance|financial analysis|process improvement|partnership tax|microsoft office|accounting|excel|reporting|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-1-to-3-yrs-jobid-seLrqXLCz7JzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
proxelera pvt ltd,Analyst,few days ago,rtl design|physical design|static timing analysis,https://www.timesjobs.com/job-detail/analyst-proxelera-pvt-ltd-mysoru-mysore-8-to-11-yrs-jobid-IUgK6__PLUS__boHjZzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,cash management|financial statements|audit coordination|tax compliance|process improvement|general accounting|legal|taxcompliance|reporting|vat|ms office tools|income tax|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-3-to-6-yrs-jobid-cnL3CDNuj6tzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,us partnership tax|tax form preparation|financial analysis|process improvement|microsoft office proficiency|accounting|excel|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-1-to-3-yrs-jobid-ZnzrxL7wRndzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,Analyst,few days ago,investment management|asset valuation|cashflow modeling|collateral analysis|covenant monitoring|due diligence|closing|reporting|cfa|office tools|verbal communication|excel|finance|pricing,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-bengaluru-bangalore-1-to-4-yrs-jobid-a__SLASH__v__PLUS__ullZmRNzpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
Wipro Technologies Ltd,analyst,few days ago,payroll processing|tax compliance|account reconciliations|report preparation|communication skills|excel|reports|balance sheet|sap|finance,https://www.timesjobs.com/job-detail/analyst-wipro-technologies-ltd-gurgaon-3-to-6-yrs-jobid-SjV2PAKN4s9zpSvf__PLUS__uAgZw==&source=srp,2024-11-05 01:31:48
